Clade,Genus,Species,Group,N,W,BrainW,RMR,TEE,Source,Method
Cercopithecoidea,Allenopithecus,nigroviridis,,1,7.9,,,524,Pontzer et al 2014,Doubly Labeled Water
Cercopithecoidea,Cercocebus,torquatus,,0.3,3.4,,172,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Cercocebus,torquatus,,0.3,3.4,,172,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Cercocebus,torquatus,,0.3,3.4,,170,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Cercocebus,torquatus,,0.3,4.1,,195,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Cercocebus,torquatus,,0.3,4.1,,196,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Cercocebus,torquatus,,0.3,4.1,,202,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Cercopithecus,albigena,,,7.9,104,327,428,Leonard & Robertson 1997,Factorial
Cercopithecoidea,Cercopithecus,guereza,,,7,,265,329,Leonard & Robertson 1997,Factorial
Cercopithecoidea,Macaca,fascicularis,,16,5.7,,573,884,CAN 2003,Factorial
Cercopithecoidea,Macaca,fascicularis,,16,5.5,,345,423,CAN 2003,Factorial
Cercopithecoidea,Macaca,fascicularis,,,5.5,,331,393,Leonard & Robertson 1997,Factorial
Cercopithecoidea,Macaca,mulatta,,3,9,93,364,367,CAN 2003,Factorial
Cercopithecoidea,Macaca,mulatta,,14,6.6,93,287,277,CAN 2003,Factorial
Cercopithecoidea,Macaca,mulatta,,6,9,93,364,1008,CAN 2003,Factorial
Cercopithecoidea,Macaca,mulatta,,6,9,93,364,853,CAN 2003,Factorial
Cercopithecoidea,Macaca,mulatta,,3,8.3,93,342,,CAN 2003,Factorial
Cercopithecoidea,Macaca,mulatta,,15,13.7,93,603,,CAN 2003,Factorial
Cercopithecoidea,Macaca,mulatta,,8,16.5,93,498,1183,CAN 2003,Factorial
Cercopithecoidea,Macaca,mulatta,,1,3.7,93,196,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Macaca,mulatta,,1,4.3,93,199,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Macaca,mulatta,,0.5,8.1,93,293,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Macaca,mulatta,,0.5,8.1,93,306,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Macaca,mulatta,,11,14.4,93,,607,Pontzer et al 2014,Doubly Labeled Water
Cercopithecoidea,Macaca,radiata,,5,4.2,,,251,Pontzer et al 2014,Doubly Labeled Water
Cercopithecoidea,Papio,anubis,,,29.3,201,956,1281,Leonard & Robertson 1997,Factorial
Cercopithecoidea,Papio,anubis,,,13,201,520,699,Leonard & Robertson 1997,Factorial
Cercopithecoidea,Papio,anubis,,8,16.2,201,,832,Pontzer et al 2014,Doubly Labeled Water
Cercopithecoidea,Papio,cynocephalus,,6,12,,,813,Pontzer et al 2014,Doubly Labeled Water
Cercopithecoidea,Papio,papio,,0.3,5.3,,281,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Papio,papio,,0.3,5.8,,288,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Papio,papio,,0.3,5.8,,291,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Papio,papio,,0.3,7.6,,332,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Papio,papio,,0.3,7.6,,344,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Papio,papio,,0.3,7.6,,312,,Coehlo 1986,Respiratory Quotient
Cercopithecoidea,Papio,papio,,0.3,7.6,,328,,Coehlo 1986,Respiratory Quotient
Hominoidea,Gorilla,beringei,,1,97.5,,,2475,Rothman Dierenfeld Hintz Pell 2008,Factorial
Hominoidea,Gorilla,beringei,,1,162.5,,,3632,"Rothman Dierenfeld Hintz Pell 2008, Smith Jungers 1997",Factorial
Hominoidea,Gorilla,gorilla,,5,123.7,500,,3160,Pontzer et al 2014,Doubly Labeled Water
Hominoidea,Hylobates,lar,,0.3,1.9,102,132,,Coehlo 1986,Respiratory Quotient
